Date : 2022-02-06 16:52:32
Directory : z:\Programming\Yadesh\yadesh
Total : 353 files,  46091 codes, 806 comments, 899 blanks, all 47796 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\ForgotPassword.js                                  | JavaScript |         38 |          0 |          2 |         40 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\SiteManagment.js                                   | JavaScript |         82 |          0 |          5 |         87 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\SuccsessModal.js                                   | JavaScript |         29 |          0 |          1 |         30 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\TicketsCompany.js                                  | JavaScript |         12 |          0 |          0 |         12 |
| z:\Programming\Yadesh\yadesh\src\Pages\ContactSupport.js                                                 | JavaScript |        180 |          0 |          4 |        184 |
| z:\Programming\Yadesh\yadesh\src\Pages\Course.js                                                         | JavaScript |         15 |          0 |          4 |         19 |
| z:\Programming\Yadesh\yadesh\src\Pages\ForgotPassword.js                                                 | JavaScript |         39 |          0 |          1 |         40 |
| z:\Programming\Yadesh\yadesh\src\Pages\HomePageLoggedIn.js                                               | JavaScript |         21 |          0 |          2 |         23 |
| z:\Programming\Yadesh\yadesh\src\Pages\HomePageNotLogin.js                                               | JavaScript |         23 |          0 |          2 |         25 |
| z:\Programming\Yadesh\yadesh\src\Pages\Login.js                                                          | JavaScript |        138 |          0 |          2 |        140 |
| z:\Programming\Yadesh\yadesh\src\Pages\MyProgress.js                                                     | JavaScript |         23 |          0 |          2 |         25 |
| z:\Programming\Yadesh\yadesh\src\Pages\Page404.js                                                        | JavaScript |         32 |          0 |          2 |         34 |
| z:\Programming\Yadesh\yadesh\src\Pages\PlayerCourse.js                                                   | JavaScript |         15 |          0 |          0 |         15 |
| z:\Programming\Yadesh\yadesh\src\Pages\PlayerEpisode.js                                                  | JavaScript |         13 |          0 |          0 |         13 |
| z:\Programming\Yadesh\yadesh\src\Pages\SignUpForBusiness.js                                              | JavaScript |         13 |          0 |          0 |         13 |
| z:\Programming\Yadesh\yadesh\src\Pages\UserProfile.js                                                    | JavaScript |         17 |          0 |          2 |         19 |
| z:\Programming\Yadesh\yadesh\src\Pages\YadgiriDarSatheJahani.js                                          | JavaScript |         21 |          0 |          3 |         24 |
| z:\Programming\Yadesh\yadesh\src\assets\Img\MostVeiw\logoPlay.svg                                        | XML        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\assets\Img\qustionFromYadesh\Svg.js                                     | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\3Dots.js                                                     | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\404.js                                                       | JavaScript |         62 |          0 |          2 |         64 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\404Art.js                                                    | JavaScript |         65 |          0 |          1 |         66 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\Dart.js                                              | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\DonbaleFelash.js                                     | JavaScript |         11 |          0 |          1 |         12 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\FelashDown.js                                        | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\GoogleLocation.js                                    | JavaScript |         24 |          0 |          1 |         25 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\Letter.js                                            | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\Location.js                                          | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\LogoYadesh.js                                        | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\Person.js                                            | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\Phone.js                                             | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\Tick.js                                              | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AboutUs\TxtYadesh.js                                         | JavaScript |          8 |          0 |          1 |          9 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\AdminPanelLogo.js                                 | JavaScript |         26 |          0 |          1 |         27 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\CoursesIcon.js                                    | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\Danger.js                                         | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\EpisodeIcon.js                                    | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\Excel.js                                          | JavaScript |         77 |          0 |          1 |         78 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\ExitIcon.js                                       | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\ExportCharts.js                                   | JavaScript |         42 |          0 |          1 |         43 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\FactorIcon.js                                     | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\NotifAlert.js                                     | JavaScript |         26 |          0 |          1 |         27 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\PDf.js                                            | JavaScript |         66 |          0 |          1 |         67 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\PowerPoint.js                                     | JavaScript |         69 |          0 |          1 |         70 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\SearchIcon.js                                     | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\SettingIcon.js                                    | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\ShowTick.js                                       | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\SidebarBtn.js                                     | JavaScript |         19 |          0 |          1 |         20 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\SiteManagmentIcon.js                              | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\Sort1.js                                          | JavaScript |         30 |          0 |          1 |         31 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\SortGroup.js                                      | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\Succses.js                                        | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\TicketIcon.js                                     | JavaScript |         22 |          0 |          1 |         23 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\Tooltip.js                                        | JavaScript |         20 |          0 |          1 |         21 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\UserControlIcon.js                                | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\UserUserIcon.js                                   | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminLogin\YadeshLightLogo.js                                | JavaScript |         34 |          0 |          1 |         35 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\ArrowDown.js                               | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\ArrowLeft.js                               | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Calendar.js                                | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Company.js                                 | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Create.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Danger.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Doreha.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Edit.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Ekhtar.js                                  | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Exele.js                                   | JavaScript |         27 |          0 |          1 |         28 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Factor.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Failed.js                                  | JavaScript |          6 |          0 |          0 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\HazinehEshterack.js                        | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Link.js                                    | JavaScript |          3 |          0 |          0 |          3 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\LogoGoogleMap.js                           | JavaScript |          9 |          0 |          1 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Managment.js                               | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Nnotification.js                           | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Oclock.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\ParchamIran.js                             | JavaScript |         13 |          0 |          2 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Play.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Remove.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Search.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Send.js                                    | JavaScript |          3 |          0 |          0 |          3 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Settings.js                                | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Sort.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Subscription.js                            | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Successful.js                              | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\SvgTicketCompany.js                        | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Ticket.js                                  | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\Trash.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\User.js                                    | JavaScript |         10 |          0 |          1 |         11 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\UserProfile.js                             | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\AdminPanelCourses\statistics.js                              | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Aroow.js                                                     | JavaScript |          8 |          0 |          0 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\BigVerifiedIcon.js                                           | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Bookmark.js                                                  | JavaScript |         21 |          0 |          1 |         22 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\BtnPlay.js                                                   | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Call.js                                                      | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Clock.js                                                     | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CloseButtonEditProfileModal.js                               | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CurveLine1.js                                                | JavaScript |         33 |          0 |          1 |         34 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CurveLine2.js                                                | JavaScript |         31 |          0 |          1 |         32 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CustomerYadesh\hamraheaval.svg                               | XML        |          9 |          0 |          1 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CustomerYadesh\logo-banafsh.svg                              | XML        |          9 |          0 |          1 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CustomerYadesh\melatBank.svg                                 | XML        |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CustomerYadesh\shape.svg                                     | XML        |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\CustomerYadesh\snap.svg                                      | XML        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Email.js                                                     | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\FatAroow.js                                                  | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\ForgotPassword\ForgotPassword.js                             | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\GoogleMap.js                                                 | JavaScript |         70 |          0 |          1 |         71 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Hat.js                                                       | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\HomePageNotLogin\Ellipse.js                                  | JavaScript |         47 |          0 |          1 |         48 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\HomePageNotLogin\TikIcon.js                                  | JavaScript |         20 |          0 |          1 |         21 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Info.js                                                      | JavaScript |         22 |          0 |          1 |         23 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\InstaLogo.js                                                 | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\IranFlag.js                                                  | JavaScript |         43 |          0 |          1 |         44 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\LinkedinLogo.js                                              | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Location.js                                                  | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\Cup.js                                                 | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\GoogleIcon.js                                          | JavaScript |         26 |          0 |          1 |         27 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\GoogleIcon.svg                                         | XML        |          0 |          0 |          1 |          1 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\Home.js                                                | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\Lock.js                                                | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\ShowPass.js                                            | JavaScript |         18 |          0 |          1 |         19 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Login\UserIcon.js                                            | JavaScript |         19 |          0 |          2 |         21 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\MenuIcon.js                                                  | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\Add.js                                                | JavaScript |          8 |          0 |          1 |          9 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\AddCategories.js                                      | JavaScript |          7 |          0 |          2 |          9 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\AddTeacher.js                                         | JavaScript |         10 |          0 |          1 |         11 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\ArrowTop.js                                           | JavaScript |          7 |          0 |          3 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\Course.js                                             | JavaScript |          7 |          0 |          0 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\Done.js                                               | JavaScript |          7 |          0 |          4 |         11 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\Logout.js                                             | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Modals\Pelas.js                                              | JavaScript |          8 |          0 |          2 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\MyProgressRocket.js                                          | JavaScript |         37 |          0 |          1 |         38 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\NextIcon.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\NoteIcon.js                                                  | JavaScript |         21 |          0 |          1 |         22 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PenIcon.js                                                   | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\ArrowDown.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\ArrowUp.js                                     | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Book.js                                        | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Border.js                                      | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Cc.js                                          | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Dislike.js                                     | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Hd.js                                          | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Humborgrt.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Like.js                                        | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Nexd.js                                        | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Resize.js                                      | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Setting.js                                     | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Stop.js                                        | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Tag.js                                         | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Volume.js                                      | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PlayerEpisode\Yaddasht.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\PrevIcon.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Profile.js                                                   | JavaScript |         18 |          0 |          1 |         19 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\SearchIcon.js                                                | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\SignUpForBusiness\Achar.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\SignUpForBusiness\AlamatTaajob.js                            | JavaScript |          7 |          0 |          1 |          8 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\SignUpForBusiness\Almas.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\SignUpForBusiness\Drap.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\SignUpForBusiness\Tick.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Speakermute.js                                               | JavaScript |         25 |          0 |          1 |         26 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Star.js                                                      | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\Support.js                                                   | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\TwiterLogo.js                                                | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\UpArrow.js                                                   | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\UserPannel.js                                                | JavaScript |         26 |          0 |          1 |         27 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\VerifiedIcon.js                                              | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\VideoShortIcon.js                                            | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\View.js                                                      | JavaScript |         18 |          0 |          1 |         19 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\WhatsAppLogo.js                                              | JavaScript |         14 |          0 |          1 |         15 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadeshLogo.js                                                | JavaScript |         18 |          0 |          1 |         19 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadeshNameLogo.js                                            | JavaScript |         26 |          0 |          1 |         27 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\Bale.js                                | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\BanjeMelat.js                          | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\Snap.js                                | JavaScript |         12 |          0 |          1 |         13 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\hamraheAval.svg                        | XML        |          9 |          0 |          1 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\logo.svg                               | XML        |         19 |          0 |          1 |         20 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\ritle.svg                              | XML        |          9 |          0 |          1 |         10 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\textBank.svg                           | XML        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YadgiriDarSatheJahani\textMelet.svg                          | XML        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YouAsk\Lamp.js                                               | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\YouAsk\Question.js                                           | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\adminPanelEpisode\Player.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\course\Bookmark.js                                           | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\course\Play.js                                               | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\questionFromYadesh\Achar.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\questionFromYadesh\Almas.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\assets\svg\questionFromYadesh\Tick.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\src\index.css                                                               | CSS        |         16 |          0 |          1 |         17 |
| z:\Programming\Yadesh\yadesh\src\index.js                                                                | JavaScript |         15 |          3 |          3 |         21 |
| z:\Programming\Yadesh\yadesh\src\reportWebVitals.js                                                      | JavaScript |         12 |          0 |          2 |         14 |
| z:\Programming\Yadesh\yadesh\src\setupTests.js                                                           | JavaScript |          1 |          4 |          1 |          6 |
| z:\Programming\Yadesh\yadesh\tailwind.config.js                                                          | JavaScript |         11 |          0 |          1 |         12 |
| Total                                                                                                    |            |     46,091 |        806 |        899 |     47,796 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
